,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
445,Standard_D2as_v5_Promo,switzerlandwest,USD,0.0,0.0286,0.0286,CH West,2022-07-01T00:00:00Z,9bf3829d-963a-524a-803e-8a8472f80f99,D2as v5 Promo Low Priority,DZH318Z08W2K,DZH318Z08W2K/00V3,Virtual Machines Dasv5 Promo Series Windows,Standard_D2as_v5_Promo Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
446,Standard_B16s_v2,australiasoutheast,USD,0.0,0.346,0.346,AU Southeast,2023-03-01T00:00:00Z,9bf5c111-6bdf-5882-9ade-bac7f46ab570,B16s v2 Spot,DZH318Z0K9K9,DZH318Z0K9K9/027R,Virtual Machines Bsv2 Series,B16s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
447,Standard_B16ls_v2,germanywestcentral,USD,0.0,0.272,0.272,DE West Central,2023-03-01T00:00:00Z,9bf81b68-ffef-58f2-9f57-e504496275e6,B16ls v2 Spot,DZH318Z0K9K9,DZH318Z0K9K9/00R2,Virtual Machines Bsv2 Series,B16ls v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
448,Standard_DS15i_v2,westus,USD,0.0,1.852,1.852,US West,2019-08-01T00:00:00Z,9bf914fe-6788-4360-92bd-8ee6b62774b8,DS15i v2,DZH318Z0BQ4C,DZH318Z0BQ4C/03HZ,Virtual Machines DSv2 Series,DS15i v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
449,Standard_D15i_v2,westus,USD,0.0,1.852,1.852,US West,2019-08-01T00:00:00Z,9bf914fe-6788-4360-92bd-8ee6b62774b8,D15i v2/DS15i v2,DZH318Z0BQ34,DZH318Z0BQ34/022R,Virtual Machines Dv2 Series,D15i v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
450,Standard_D2_v3,attnewyork1,USD,0.0,0.0384,0.0384,ATT New York 1,2023-02-01T00:00:00Z,9bfd05d6-7b31-537f-a6d8-246a079afa3f,D2 v3/D2s v3 Spot,DZH318Z0BQ4K,DZH318Z0BQ4K/02XW,Virtual Machines Dv3 Series,D2 v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
451,Basic_A2,usgovvirginia,USD,0.0,0.0618,0.0618,US Gov Virginia,2016-11-01T00:00:00Z,9bfff6db-09be-469a-b52c-264b72b99e22,A2,DZH318Z0BPRB,DZH318Z0BPRB/0006,Virtual Machines A Series Basic,A2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
452,Standard_M208-52ms_v2,canadaeast,USD,0.0,395122.0,395122.0,CA East,2022-03-01T00:00:00Z,9c012f43-2765-5ae8-b1a6-65f60beac13b,M208-52ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/05V4,Virtual Machines MSv2 Series,M208-52ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
453,Standard_M208-52ms_v2,canadaeast,USD,0.0,272795.0,272795.0,CA East,2022-03-01T00:00:00Z,9c012f43-2765-5ae8-b1a6-65f60beac13b,M208-52ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/05V5,Virtual Machines MSv2 Series,M208-52ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
454,Standard_M208-52ms_v2,canadaeast,USD,0.0,53.544,53.544,CA East,2022-03-01T00:00:00Z,9c012f43-2765-5ae8-b1a6-65f60beac13b,M208-52ms_v2,DZH318Z0BX5L,DZH318Z0BX5L/054P,Virtual Machines MSv2 Series,M208-52ms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
