,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
2540,Standard_D8as_v5,usgovvirginia,USD,0.0,0.322,0.322,US Gov Virginia,2022-08-01T00:00:00Z,e58cd3e4-2d6e-5589-91b8-bbf15f8c89d2,D8as v5 Low Priority,DZH318Z08W0Q,DZH318Z08W0Q/015C,,Virtual Machines Dasv5 Series Windows,Standard_D8as_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2541,Standard_E16-4ads_v5,australiacentral2,USD,0.0,0.5088,0.5088,AU Central 2,2022-11-01T00:00:00Z,e58f0f4f-1280-5012-a2a4-1b6e8a105272,E16-4ads v5 Spot,DZH318Z093WX,DZH318Z093WX/03XB,,Virtual Machines Eadsv5 Series Windows,E16-4ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2542,Standard_E16-4ads_v5,australiacentral2,USD,0.0,0.8032,0.8032,AU Central 2,2022-11-01T00:00:00Z,e58f0f4f-1280-5012-a2a4-1b6e8a105272,E16-4ads v5 Spot,DZH318Z093WX,DZH318Z093WX/03XB,,Virtual Machines Eadsv5 Series Windows,E16-4ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2543,Standard_E48as_v4,usgovtexas,USD,0.0,5.988,5.988,US Gov TX,2022-08-01T00:00:00Z,e58f1621-ec79-5abf-adc7-2a565f5b71cb,E48as v4,DZH318Z0CM92,DZH318Z0CM92/03J5,,Virtual Machines Easv4 Series Windows,E48as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,mismatched_sku_detail
2544,Standard_E48a_v4,usgovtexas,USD,0.0,5.988,5.988,US Gov TX,2022-08-01T00:00:00Z,e58f1621-ec79-5abf-adc7-2a565f5b71cb,E48a v4/E48as v4,DZH318Z0CM95,DZH318Z0CM95/015C,,Virtual Machines Eav4 Series Windows,E48a v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2545,Standard_D96as_v5_Promo,westcentralus,USD,0.0,1.774,1.774,US West Central,2022-07-01T00:00:00Z,e590ba43-6020-52f1-897a-cb346e1b5089,D96as v5 Promo Spot,DZH318Z08W2M,DZH318Z08W2M/010P,,Virtual Machines Dasv5 Promo Series,Standard_D96as_v5_Promo Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2546,Standard_NC12s_v3,usgovarizona,USD,0.0,3.232,3.232,US Gov AZ,2018-05-01T00:00:00Z,e594a1c1-9a85-4dff-a5cc-e06e95752f27,NC12s v3 Low Priority,DZH318Z0BP4M,DZH318Z0BP4M/001F,,Virtual Machines NCSv3 Series Windows,NC12s v3 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2547,Standard_B2s_v2,northeurope,USD,0.0,0.03648,0.03648,EU North,2023-03-01T00:00:00Z,e594de56-829f-5d74-9142-54bd25df1870,B2s v2 Spot,DZH318Z0K9KD,DZH318Z0K9KD/0259,,Virtual Machines Bsv2 Series Windows,B2s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2548,Standard_B2s_v2,northeurope,USD,0.0,0.04,0.04,EU North,2023-03-01T00:00:00Z,e594de56-829f-5d74-9142-54bd25df1870,B2s v2 Spot,DZH318Z0K9KD,DZH318Z0K9KD/0259,,Virtual Machines Bsv2 Series Windows,B2s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2549,Standard_E32ads_v5,australiacentral2,USD,0.0,25405.0,25405.0,AU Central 2,2022-11-01T00:00:00Z,e5953dc7-3952-5d26-b7ef-0ecbd60b7c65,E32ads v5,DZH318Z093X0,DZH318Z093X0/06N0,,Virtual Machines Eadsv5 Series,E32ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
